date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:43:50	10091/10091	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	https://ssl.gstatic.com/accounts/ui/wlogostrip_230x17_2x.png	C:/My%20Websites/IT%20assesment/ssl.gstatic.com/accounts/ui/wlogostrip_230x17_2x.png	(from https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit&followup=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit)
23:43:51	626/626	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	https://ssl.gstatic.com/accounts/ui/avatar_2x.png	C:/My%20Websites/IT%20assesment/ssl.gstatic.com/accounts/ui/avatar_2x.png	(from https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit&followup=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit)
23:43:51	44457/44457	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202019%2013:43:52%20GMT	https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&service=wise&hl=en-GB	C:/My%20Websites/IT%20assesment/accounts.google.com/signin/usernamerecovery322d.html	(from https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit&followup=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit)
23:43:52	518/518	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2004%20May%202019%2013:43:52%20GMT	https://accounts.google.com/AccountChooser?continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&followup=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&service=wise	C:/My%20Websites/IT%20assesment/accounts.google.com/AccountChooser.cb613.delayed	(from https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit&followup=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit)
23:43:52	71222/71222	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202019%2013:43:52%20GMT	https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&followup=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&service=wise&sacu=1&rip=1	C:/My%20Websites/IT%20assesment/accounts.google.com/ServiceLogine3ee.html	(from https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit&followup=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit)
23:43:53	354233/354233	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202019%2013:43:53%20GMT	https://accounts.google.com/SignUp?service=wise&continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit	C:/My%20Websites/IT%20assesment/accounts.google.com/SignUpd68c.html	(from https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit&followup=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit)
23:43:53	236/236	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2004%20May%202019%2013:43:53%20GMT	https://accounts.google.com/TOS?loc=AU&hl=en-GB&privacy=true	C:/My%20Websites/IT%20assesment/accounts.google.com/TOS.f1f99.delayed	(from https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit&followup=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit)
23:43:54	234/234	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2004%20May%202019%2013:43:54%20GMT	https://accounts.google.com/TOS?loc=AU&hl=en-GB	C:/My%20Websites/IT%20assesment/accounts.google.com/TOS.109609.delayed	(from https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit&followup=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit)
23:43:55	199/199	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	http://ssl.gstatic.com/images/icons/ui/common/universal_language_settings-21.png	C:/My%20Websites/IT%20assesment/ssl.gstatic.com/images/icons/ui/common/universal_language_settings-21.png	(from https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit&followup=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit)
23:43:55	1634/1634	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20May%202019%2013:43:55%20GMT	https://accounts.google.com/POST	C:/My%20Websites/IT%20assesment/accounts.google.com/POST.12.delayed	(from https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit&followup=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit)
